41791700000,41791799999,Visa,Debit,VISA CLASSIC,IN,AXIS BANK LIMITED
41794200000,41794299999,Visa,Credit,VISA REWARDS,IN,SBI CARDS AND PAYMENT SERVICES LIMITED
41794300000,41794399999,Visa,Credit,VISA REWARDS,IN,SBI CARDS AND PAYMENT SERVICES LIMITED
41823400000,41823499999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
41823500000,41823599999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
41825400000,41825499999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
41825500000,41825599999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
41826400000,41826499999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
41868500000,41868599999,Visa,Credit,VISA GOLD,IN,DHANLAXMI BANK LIMITED
42012500000,42012599999,Visa,Prepaid,VISA CORPORATE T&E,IN,AXIS BANK LIMITED
42013400000,42013499999,Visa,Prepaid,VISA CORPORATE T&E,IN,AXIS BANK LIMITED
42055700000,42055799999,Visa,Prepaid,VISA PLATINUM,IN,HDFC BANK LIMITED
42071200000,42071299999,Visa,Debit,VISA PLATINUM,IN,THE FEDERAL BANK LTD
42074600000,42074699999,Visa,Debit,VISA BUSINESS ENHANCED,IN,RBL BANK LIMITED
42100600000,42100699999,Visa,Debit,VISA PLATINUM,IN,AXIS BANK LIMITED
42132000000,42132099999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
42132100000,42132199999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
42132200000,42132299999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
42132500000,42132599999,Visa,Prepaid,VISA CORPORATE T&E,IN,AXIS BANK LIMITED
42132600000,42132699999,Visa,Prepaid,VISA CORPORATE T&E,IN,AXIS BANK LIMITED
42133100000,42133199999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
42133200000,42133299999,Visa,Prepaid,VISA CORPORATE T&E,IN,HDFC BANK LIMITED
